# DEC: -19.5125444444444
# TRANSIENT_ID: 75564
# REDSHIFT_ERR: None
# SPECTRUM_NOTES: None
# OBS_GROUP_ID: 55
# RLAP: None
# OBS_DATE: 2021-03-22 00:00:00+00:00
# UNIT_ID: None
# SPEC_DATA_FILE: None
# RA: 198.256583333333
# SPEC_PHASE: None
# SNID_PLOT_FILE: None
# FOLLOWUP_ID: None
# REDSHIFT_QUALITY: None
# DATA_QUALITY_ID: 7
# SPEC_PLOT_FILE: None
# REDSHIFT: None
# INSTRUMENT_ID: 1

wavelength,flux,fluxerr
3403.531,3.35876e+00,4.08968e-01
3406.062,3.71225e+00,3.85012e-01
3408.593,3.80079e+00,3.83963e-01
3411.124,3.68750e+00,3.78162e-01
3413.655,3.40856e+00,4.44954e-01
3416.186,3.78191e+00,3.80440e-01
3418.717,4.16064e+00,3.80007e-01
3421.248,3.88635e+00,3.57694e-01
3423.779,4.95177e+00,3.97538e-01
3426.310,5.08844e+00,4.49394e-01
3428.841,5.25271e+00,4.35550e-01
3431.372,5.19902e+00,4.17657e-01
3433.903,5.54750e+00,4.35574e-01
3436.434,5.72213e+00,4.49827e-01
3438.965,4.73801e+00,4.35683e-01
3441.496,5.84657e+00,4.72109e-01
3444.027,6.88458e+00,4.67402e-01
3446.558,7.34777e+00,4.52532e-01
3449.089,6.88373e+00,4.15523e-01
3451.621,6.76373e+00,4.21746e-01
3454.152,6.73973e+00,4.27768e-01
3456.683,6.47019e+00,3.84489e-01
3459.214,6.78096e+00,3.95647e-01
3461.745,7.59722e+00,3.92945e-01
3464.276,7.69841e+00,4.28334e-01
3466.807,7.95545e+00,4.41583e-01
3469.338,7.67168e+00,4.19147e-01
3471.869,8.46302e+00,4.01132e-01
3474.400,8.02577e+00,3.81192e-01
3476.931,8.38367e+00,4.06236e-01
3479.462,8.46001e+00,4.16746e-01
3481.993,8.56064e+00,4.36549e-01
3484.524,9.24909e+00,4.08552e-01
3487.055,8.94209e+00,3.91921e-01
3489.586,8.42265e+00,3.81892e-01
3492.117,7.73939e+00,3.84351e-01
3494.648,8.56148e+00,4.13266e-01
3497.179,8.42792e+00,3.98576e-01
3499.710,8.44953e+00,3.74822e-01
3502.241,8.56960e+00,3.74869e-01
3504.772,8.38917e+00,3.85778e-01
3507.303,8.33881e+00,4.00004e-01
3509.834,8.27599e+00,3.94456e-01
3512.365,9.27462e+00,3.82722e-01
3514.896,8.52261e+00,3.53410e-01
3517.427,8.42684e+00,3.66873e-01
3519.958,8.96045e+00,4.03445e-01
3522.489,9.11225e+00,4.05106e-01
3525.020,8.15298e+00,3.53698e-01
3527.551,8.22410e+00,3.33610e-01
3530.082,8.63220e+00,3.59186e-01
3532.613,7.70835e+00,3.65106e-01
3535.144,8.45230e+00,3.79105e-01
3537.675,8.07295e+00,3.50035e-01
3540.206,7.22221e+00,3.30404e-01
3542.737,7.63265e+00,3.41286e-01
3545.268,8.13818e+00,3.66424e-01
3547.800,6.79746e+00,3.58097e-01
3550.331,7.58809e+00,3.51198e-01
3552.862,6.52229e+00,3.11762e-01
3555.393,7.15654e+00,3.18893e-01
3557.924,6.92421e+00,3.20049e-01
3560.455,6.81460e+00,3.34356e-01
3562.986,6.39841e+00,3.26400e-01
3565.517,6.42169e+00,2.96230e-01
3568.048,6.55942e+00,2.93049e-01
3570.579,5.81145e+00,2.82010e-01
3573.110,6.57947e+00,3.16916e-01
3575.641,6.65205e+00,3.25694e-01
3578.172,5.67302e+00,2.81223e-01
3580.703,5.78422e+00,2.68890e-01
3583.234,5.51416e+00,2.60174e-01
3585.765,5.20651e+00,2.74832e-01
3588.296,5.54375e+00,2.81167e-01
3590.827,5.31963e+00,2.70475e-01
3593.358,5.25433e+00,2.59008e-01
3595.889,5.26585e+00,2.50809e-01
3598.420,5.45953e+00,2.65838e-01
3600.951,4.95321e+00,2.71238e-01
3603.482,4.85949e+00,2.60664e-01
3606.013,4.91229e+00,2.42754e-01
3608.544,5.05067e+00,2.40197e-01
3611.075,4.38100e+00,2.30162e-01
3613.606,3.92445e+00,2.40049e-01
3616.137,4.13516e+00,2.44325e-01
3618.668,4.22374e+00,2.33907e-01
3621.199,3.32208e+00,2.04023e-01
3623.730,3.73775e+00,2.17822e-01
3626.261,3.98809e+00,2.33956e-01
3628.792,3.42549e+00,2.29238e-01
3631.323,3.42540e+00,2.16347e-01
3633.854,3.22449e+00,1.95739e-01
3636.385,3.15617e+00,1.95489e-01
3638.916,3.25203e+00,2.10362e-01
3641.447,2.96531e+00,2.14916e-01
3643.979,2.98591e+00,2.07565e-01
3646.510,2.54069e+00,1.91280e-01
3649.041,2.58928e+00,2.06394e-01
3651.572,2.16274e+00,2.12912e-01
3654.103,2.26533e+00,2.15124e-01
3656.634,1.97857e+00,1.99502e-01
3659.165,2.23313e+00,1.90542e-01
3661.696,2.29463e+00,1.82675e-01
3664.227,1.90611e+00,1.73156e-01
3666.758,2.02495e+00,1.79422e-01
3669.289,2.12856e+00,1.79454e-01
3671.820,2.05236e+00,1.66907e-01
3674.351,2.00782e+00,1.59531e-01
3676.882,1.89482e+00,1.56041e-01
3679.413,2.03768e+00,1.60944e-01
3681.944,2.00792e+00,1.68498e-01
3684.475,2.02836e+00,1.60240e-01
3687.006,1.71852e+00,1.39673e-01
3689.537,2.17746e+00,1.51945e-01
3692.068,2.14448e+00,1.58694e-01
3694.599,1.92853e+00,1.64739e-01
3697.130,2.08920e+00,1.65176e-01
