# DEC: -19.5123888888889
# TRANSIENT_ID: 75564
# REDSHIFT_ERR: None
# SPECTRUM_NOTES: None
# OBS_GROUP_ID: 55
# RLAP: None
# OBS_DATE: 2021-05-12 00:00:00+00:00
# UNIT_ID: None
# SPEC_DATA_FILE: None
# RA: 198.256166666667
# SPEC_PHASE: None
# SNID_PLOT_FILE: None
# FOLLOWUP_ID: None
# REDSHIFT_QUALITY: None
# DATA_QUALITY_ID: None
# SPEC_PLOT_FILE: None
# REDSHIFT: None
# INSTRUMENT_ID: 7

wavelength,flux,fluxerr
3542.222,2.96289e-01,1.20668e-02
3543.406,3.13484e-01,1.23263e-02
3549.326,2.97263e-01,1.33420e-02
3550.510,3.43902e-01,1.42627e-02
3554.061,3.19473e-01,1.37688e-02
3561.165,4.05255e-01,1.42692e-02
3562.349,3.98361e-01,1.50628e-02
3563.533,4.00293e-01,1.34172e-02
3568.268,3.84898e-01,1.40585e-02
3573.004,4.16138e-01,1.47386e-02
3578.924,4.21408e-01,1.33492e-02
3582.475,4.13025e-01,1.38478e-02
3583.659,3.97442e-01,1.31156e-02
3584.843,4.15054e-01,1.38155e-02
3587.211,4.09836e-01,1.42780e-02
3594.315,4.11417e-01,1.34035e-02
3596.682,4.18379e-01,1.31276e-02
3602.602,4.25736e-01,1.33649e-02
3609.706,4.89406e-01,1.54240e-02
3612.073,4.45736e-01,1.40787e-02
3613.257,4.67389e-01,1.37714e-02
3616.809,4.47016e-01,1.32135e-02
3617.993,4.35675e-01,1.31049e-02
3619.177,4.44501e-01,1.35309e-02
3620.361,4.39295e-01,1.32011e-02
3621.545,4.45707e-01,1.34238e-02
3623.913,4.66016e-01,1.43006e-02
3625.097,4.46061e-01,1.42630e-02
3626.280,4.59376e-01,1.51174e-02
3627.464,4.77501e-01,1.58052e-02
3629.832,4.57104e-01,1.43544e-02
3632.200,4.81072e-01,1.41054e-02
3633.384,4.66653e-01,1.32180e-02
3634.568,4.70631e-01,1.33370e-02
3638.120,4.86845e-01,1.33849e-02
3639.304,4.79531e-01,1.34452e-02
3640.488,4.53352e-01,1.33876e-02
3641.671,4.74410e-01,1.38009e-02
3642.855,4.93440e-01,1.44097e-02
3645.223,4.82758e-01,1.50851e-02
3646.407,4.78920e-01,1.45226e-02
3653.511,4.52423e-01,1.30903e-02
3654.695,4.54094e-01,1.27461e-02
3657.062,4.00351e-01,1.19858e-02
3662.982,4.08622e-01,1.34865e-02
3666.534,3.99180e-01,1.33423e-02
3667.718,4.17397e-01,1.26792e-02
3671.269,3.76250e-01,1.13927e-02
3673.637,3.97864e-01,1.14889e-02
3677.189,4.42605e-01,1.26661e-02
3678.373,4.39844e-01,1.25813e-02
3683.109,4.58504e-01,1.36341e-02
3684.293,4.32121e-01,1.30621e-02
3687.844,4.90361e-01,1.27764e-02
3689.028,4.68823e-01,1.25913e-02
3690.212,4.75014e-01,1.23620e-02
3693.764,5.25008e-01,1.28307e-02
3694.948,5.20735e-01,1.29582e-02
3697.316,5.13860e-01,1.32328e-02
3699.684,5.50962e-01,1.44450e-02
3702.051,6.18360e-01,1.57575e-02
3704.419,5.90570e-01,1.44464e-02
3705.603,6.31077e-01,1.45293e-02
3707.971,6.31162e-01,1.38553e-02
3709.155,6.13178e-01,1.34812e-02
3711.523,6.07287e-01,1.34301e-02
3712.707,6.26959e-01,1.36056e-02
3713.891,6.52364e-01,1.40858e-02
3716.258,6.18304e-01,1.41814e-02
3717.442,6.47475e-01,1.48713e-02
3723.362,6.50708e-01,1.43707e-02
3725.730,6.71889e-01,1.41831e-02
3734.017,6.80514e-01,1.42216e-02
3735.201,6.67399e-01,1.44165e-02
3736.385,6.46616e-01,1.44461e-02
3738.753,6.51108e-01,1.51829e-02
3745.856,6.44060e-01,1.32233e-02
3747.040,6.52218e-01,1.31698e-02
3748.224,6.62793e-01,1.33332e-02
3752.960,6.21167e-01,1.33067e-02
3754.144,6.10407e-01,1.35223e-02
3760.063,5.80095e-01,1.31720e-02
3762.431,5.60731e-01,1.23083e-02
3763.615,5.47540e-01,1.20553e-02
3767.167,5.40805e-01,1.15733e-02
3768.351,5.51300e-01,1.17401e-02
3771.903,5.44867e-01,1.21724e-02
3775.454,5.26408e-01,1.30719e-02
3776.638,5.28317e-01,1.30727e-02
3779.006,5.35300e-01,1.22742e-02
3783.742,4.61493e-01,1.10404e-02
3787.294,4.57192e-01,1.05028e-02
3788.477,4.79210e-01,1.09257e-02
3789.661,4.69788e-01,1.12256e-02
3799.133,4.23284e-01,1.04710e-02
3801.501,4.30549e-01,1.02879e-02
3803.868,4.28904e-01,1.01305e-02
3806.236,4.26554e-01,9.98267e-03
3807.420,4.19089e-01,1.00398e-02
3808.604,4.14211e-01,1.01654e-02
3809.788,4.19425e-01,1.05807e-02
3810.972,4.08576e-01,1.06357e-02
3812.156,4.13015e-01,1.09964e-02
3813.340,3.82827e-01,1.08718e-02
3814.524,3.78885e-01,1.05788e-02
3816.892,3.73230e-01,1.00430e-02
3818.075,3.94522e-01,1.00067e-02
3819.259,3.66922e-01,9.53155e-03
3826.363,3.34717e-01,8.96312e-03
3831.099,3.20996e-01,9.65245e-03
3832.283,2.92228e-01,9.90792e-03
3837.018,2.75982e-01,8.25147e-03
3850.041,3.16204e-01,9.54365e-03
3852.409,2.88257e-01,8.92506e-03
3854.777,3.14434e-01,8.76130e-03
3857.145,3.28139e-01,8.66217e-03
3858.329,3.18401e-01,8.36528e-03
3859.513,3.17529e-01,8.43630e-03
3861.881,3.33559e-01,8.51896e-03
3865.432,3.66443e-01,9.26240e-03
3867.800,3.61291e-01,9.82368e-03
3868.984,3.52153e-01,9.77268e-03
3872.536,3.79434e-01,9.50643e-03
3874.904,3.95964e-01,9.24939e-03
3877.271,4.28581e-01,9.38560e-03
3878.455,4.43091e-01,9.38967e-03
3879.639,4.43606e-01,9.35959e-03
3885.559,4.74907e-01,1.04779e-02
3889.111,5.11339e-01,1.12645e-02
3890.295,5.18171e-01,1.09067e-02
3891.479,5.61930e-01,1.10783e-02
3892.662,5.61047e-01,1.08278e-02
3905.686,6.32327e-01,1.22664e-02
3906.869,6.53660e-01,1.26664e-02
3909.237,6.73192e-01,1.22404e-02
3910.421,6.87792e-01,1.20252e-02
3911.605,6.69820e-01,1.15350e-02
3912.789,7.15671e-01,1.17802e-02
3916.341,7.37810e-01,1.18053e-02
3918.709,7.53440e-01,1.17864e-02
3921.077,7.71041e-01,1.23747e-02
3923.444,7.73411e-01,1.29872e-02
3929.364,8.51121e-01,1.30099e-02
3931.732,8.32790e-01,1.23142e-02
3932.916,8.40651e-01,1.22151e-02
3934.100,8.11566e-01,1.19309e-02
3941.203,8.80409e-01,1.33409e-02
3942.387,8.82803e-01,1.37172e-02
3944.755,8.82538e-01,1.40806e-02
3949.491,9.21202e-01,1.29901e-02
3950.675,9.24281e-01,1.28245e-02
3955.410,9.76812e-01,1.42454e-02
3957.778,9.45002e-01,1.31010e-02
3960.146,9.49173e-01,1.36927e-02
3970.801,9.88795e-01,1.27338e-02
3973.169,1.00996e+00,1.28449e-02
3974.353,1.00700e+00,1.29529e-02
3977.905,1.05492e+00,1.39454e-02
3979.089,1.07834e+00,1.43947e-02
3981.456,1.06804e+00,1.51367e-02
3983.824,1.06985e+00,1.44039e-02
3987.376,1.09426e+00,1.35778e-02
3990.928,1.07129e+00,1.35706e-02
3992.112,1.13047e+00,1.35081e-02
3995.663,1.12025e+00,1.41364e-02
3996.847,1.09440e+00,1.41358e-02
3998.031,1.09503e+00,1.44929e-02
3999.215,1.12457e+00,1.51217e-02
4002.767,1.12493e+00,1.43591e-02
4005.135,1.12479e+00,1.36858e-02
4007.503,1.13419e+00,1.33874e-02
4008.687,1.10704e+00,1.32073e-02
4011.054,1.13800e+00,1.38597e-02
4012.238,1.14410e+00,1.38772e-02
4016.974,1.12688e+00,1.46686e-02
4019.342,1.10766e+00,1.49960e-02
4020.526,1.10611e+00,1.45571e-02
4021.710,1.10736e+00,1.40930e-02
4026.445,1.06544e+00,1.35379e-02
4028.813,1.07286e+00,1.28335e-02
4031.181,1.02977e+00,1.27971e-02
4033.549,1.06440e+00,1.35428e-02
4035.917,1.05435e+00,1.41844e-02
4038.285,1.07465e+00,1.45355e-02
4039.468,1.04260e+00,1.39094e-02
4040.652,1.01659e+00,1.33449e-02
4041.836,9.82279e-01,1.28351e-02
4044.204,9.97551e-01,1.25404e-02
4045.388,9.84580e-01,1.22584e-02
4046.572,9.81728e-01,1.21838e-02
4052.492,9.34064e-01,1.27058e-02
4056.043,9.03120e-01,1.33793e-02
4057.227,8.88429e-01,1.30231e-02
4060.779,8.91301e-01,1.20769e-02
4065.515,8.43069e-01,1.12794e-02
4066.699,8.13465e-01,1.11520e-02
4069.066,7.79715e-01,1.11526e-02
4071.434,7.91908e-01,1.16253e-02
4072.618,7.77777e-01,1.24137e-02
4074.986,7.41360e-01,1.20018e-02
4076.170,7.40454e-01,1.18567e-02
4077.354,7.51570e-01,1.15192e-02
4080.906,7.58939e-01,1.08514e-02
4083.274,7.47692e-01,1.06385e-02
4084.457,7.40090e-01,1.04735e-02
4086.825,7.43267e-01,1.06922e-02
4088.009,7.50547e-01,1.10729e-02
4090.377,7.62140e-01,1.14003e-02
4093.929,7.88499e-01,1.22363e-02
4096.297,7.78520e-01,1.14695e-02
4098.664,7.98488e-01,1.11204e-02
4101.032,7.99681e-01,1.12475e-02
4108.136,7.89014e-01,1.12667e-02
4111.688,7.98066e-01,1.21819e-02
4114.055,7.91318e-01,1.16630e-02
4115.239,7.39201e-01,1.10398e-02
4121.159,7.12145e-01,1.00805e-02
4123.527,6.81870e-01,1.00188e-02
4124.711,6.64792e-01,1.00681e-02
4128.262,6.56838e-01,1.08226e-02
4129.446,6.73937e-01,1.10278e-02
4135.366,6.41622e-01,9.97251e-03
4137.734,6.33305e-01,9.57763e-03
4141.286,6.34576e-01,9.51790e-03
4142.470,6.49033e-01,9.65414e-03
4147.205,6.71401e-01,1.06104e-02
4148.389,6.63834e-01,1.08504e-02
4149.573,6.56951e-01,1.11115e-02
4150.757,6.47913e-01,1.07459e-02
4151.941,6.39160e-01,1.03062e-02
4153.125,6.41453e-01,1.00773e-02
4154.309,6.33733e-01,9.76821e-03
4156.677,6.70234e-01,9.72745e-03
4160.228,6.52911e-01,9.60918e-03
4163.780,6.20771e-01,9.74880e-03
4164.964,6.30724e-01,1.00720e-02
4167.332,6.37625e-01,1.06886e-02
4168.516,6.36549e-01,1.07163e-02
4169.700,6.48326e-01,1.05186e-02
4177.987,6.21987e-01,9.22480e-03
4180.355,6.29948e-01,9.44541e-03
4185.091,6.31065e-01,1.02733e-02
4186.275,6.25605e-01,1.05208e-02
4187.458,6.13567e-01,1.03985e-02
4191.010,6.29488e-01,9.64063e-03
4192.194,6.31111e-01,9.44238e-03
4195.746,6.04574e-01,8.99857e-03
4198.114,6.04074e-01,9.01750e-03
4199.298,6.30179e-01,9.32261e-03
4201.666,6.08591e-01,9.55067e-03
4206.401,6.36805e-01,1.03351e-02
4212.321,6.74697e-01,9.41920e-03
4214.689,6.73593e-01,9.35543e-03
4217.056,6.98976e-01,9.56097e-03
4218.240,7.16246e-01,9.79444e-03
4219.424,7.44376e-01,1.01483e-02
4220.608,7.45214e-01,1.03538e-02
4222.976,7.34116e-01,1.08858e-02
4225.344,7.47737e-01,1.09344e-02
4226.528,7.47446e-01,1.06072e-02
4228.896,7.60319e-01,1.01829e-02
4231.263,7.62597e-01,9.88119e-03
4233.631,7.58225e-01,9.76967e-03
4234.815,7.59290e-01,9.79468e-03
4235.999,7.51005e-01,9.80996e-03
4238.367,7.39440e-01,1.00974e-02
4240.735,7.18247e-01,1.04437e-02
4241.919,7.22547e-01,1.07564e-02
