# DEC: -19.5124722222222
# TRANSIENT_ID: 75564
# REDSHIFT_ERR: None
# SPECTRUM_NOTES: None
# OBS_GROUP_ID: 55
# RLAP: None
# OBS_DATE: 2021-05-10 04:31:23.830000+00:00
# UNIT_ID: None
# SPEC_DATA_FILE: None
# RA: 198.256875
# SPEC_PHASE: None
# SNID_PLOT_FILE: None
# FOLLOWUP_ID: None
# REDSHIFT_QUALITY: None
# DATA_QUALITY_ID: None
# SPEC_PLOT_FILE: None
# REDSHIFT: None
# INSTRUMENT_ID: 1

wavelength,flux,fluxerr
3255.533,-2.25407e+00,2.24666e+00
3258.066,9.73690e+00,2.14092e+00
3260.600,7.54089e+00,1.68265e+00
3263.133,2.85765e-01,1.78510e+00
3265.666,1.57111e+00,1.65184e+00
3268.199,8.84028e+00,1.20955e+00
3270.733,4.89813e+00,1.07377e+00
3273.266,6.04668e+00,1.44616e+00
3275.799,6.53714e+00,1.54604e+00
3278.332,4.47962e+00,1.46169e+00
3280.865,5.70463e+00,1.38878e+00
3283.399,5.73949e-01,1.29887e+00
3285.932,4.45116e+00,1.39791e+00
3288.465,8.26907e+00,1.61321e+00
3290.998,-1.86079e+00,1.71157e+00
3293.532,-6.64065e+00,2.37336e+00
3296.065,5.02731e+00,1.79643e+00
3298.598,7.47401e+00,1.77530e+00
3301.131,-2.64673e-01,1.82133e+00
3303.664,4.68800e+00,1.67122e+00
3306.198,5.94337e+00,1.38040e+00
3308.731,5.48550e+00,1.00919e+00
3311.264,5.46681e+00,1.24082e+00
3313.797,-3.10109e-01,1.33107e+00
3316.330,1.15196e+00,9.47101e-01
3318.864,2.07273e-01,1.21932e+00
3321.397,-1.64138e+00,1.16600e+00
3323.930,2.35791e+00,8.80193e-01
3326.463,6.54519e-01,1.18157e+00
3328.997,1.62740e-01,1.33412e+00
3331.530,7.17798e+00,9.83625e-01
3334.063,3.79648e+00,7.91040e-01
3336.596,8.42041e+00,1.14301e+00
3339.129,1.73613e+00,1.06283e+00
3341.663,1.91955e+00,1.28344e+00
3344.196,9.37587e-01,8.89640e-01
3346.729,2.22239e+00,8.27644e-01
3349.262,6.74797e-01,8.59944e-01
3351.796,6.42752e+00,9.97238e-01
3354.329,2.16459e+00,9.26271e-01
3356.862,-1.73357e+00,9.72493e-01
3359.395,2.59164e+00,7.11491e-01
3361.928,3.76968e+00,7.97235e-01
3364.462,3.35871e+00,7.63345e-01
3366.995,-3.94004e-01,9.36325e-01
3369.528,-2.27420e-01,8.12265e-01
3372.061,1.23811e+00,6.07417e-01
3374.595,-1.77542e-01,7.26559e-01
3377.128,3.20132e+00,7.50706e-01
3379.661,-1.27267e+00,7.42082e-01
3382.194,3.09245e+00,5.52913e-01
3384.727,1.51189e+00,4.10654e-01
3387.261,3.44754e+00,3.87367e-01
3389.794,-9.99211e-02,4.29718e-01
3392.327,1.17472e-01,3.99785e-01
3394.860,1.37510e+00,3.70656e-01
3397.394,-5.84032e-01,4.54186e-01
3399.927,-4.99229e-01,4.46310e-01
3402.460,1.49272e+00,3.04612e-01
3404.993,5.47600e-01,3.80510e-01
3407.526,5.58638e-01,3.89013e-01
3410.060,5.58754e-02,2.84118e-01
3412.593,8.59075e-01,3.27602e-01
3415.126,1.61108e+00,2.96710e-01
3417.659,1.03488e+00,3.23628e-01
3420.192,1.63989e+00,4.47927e-01
3422.726,1.15713e+00,3.44380e-01
3425.259,1.38910e+00,3.27841e-01
3427.792,1.27594e+00,3.60184e-01
3430.325,6.38821e-01,4.23233e-01
3432.859,1.85370e+00,4.46563e-01
3435.392,1.61768e+00,3.62691e-01
3437.925,1.81469e+00,3.28661e-01
3440.458,7.07293e-01,3.51196e-01
3442.991,9.31642e-01,3.46093e-01
3445.525,-2.65751e-01,3.76004e-01
3448.058,1.19281e-01,3.42803e-01
3450.591,-1.89162e-02,3.29399e-01
3453.124,-6.50627e-02,2.90303e-01
3455.658,3.42732e-02,2.91638e-01
3458.191,3.46340e-01,3.07962e-01
3460.724,-4.75611e-01,3.01587e-01
3463.257,-8.20016e-01,2.75314e-01
3465.790,1.11106e-01,2.21541e-01
3468.324,3.11577e-01,2.51249e-01
3470.857,6.09783e-01,2.09143e-01
3473.390,8.97855e-01,2.46079e-01
3475.923,2.78200e-01,2.29212e-01
3478.457,1.15009e+00,2.35459e-01
3480.990,2.80072e-01,2.59961e-01
3483.523,5.80942e-01,2.38627e-01
3486.056,1.39042e+00,3.08544e-01
3488.589,1.21206e+00,2.80266e-01
3491.123,6.06274e-01,2.34998e-01
3493.656,-2.10373e-01,2.51829e-01
3496.189,9.94274e-01,1.94899e-01
3498.722,2.47512e-01,2.57605e-01
3501.256,-2.21923e-02,2.34012e-01
3503.789,-3.63451e-01,2.37058e-01
3506.322,8.87273e-01,2.21686e-01
3508.855,-3.06488e-01,2.11595e-01
3511.388,3.32919e-01,2.08916e-01
3513.922,2.26053e-02,2.24032e-01
3516.455,-5.45829e-02,2.17194e-01
3518.988,-8.41775e-02,1.82965e-01
3521.521,1.04481e+00,1.97913e-01
3524.054,1.00309e+00,1.90338e-01
3526.588,4.60198e-01,1.88139e-01
3529.121,4.16400e-01,2.38466e-01
3531.654,-2.23254e-01,1.91197e-01
3534.187,-1.76925e-01,1.92465e-01
3536.721,1.26557e-01,1.96030e-01
3539.254,4.43886e-01,2.07501e-01
3541.787,-3.05740e-01,2.34399e-01
3544.320,4.62496e-01,1.95154e-01
3546.853,7.13442e-01,2.16015e-01
3549.387,4.85025e-01,2.29151e-01
3551.920,4.72769e-01,2.37411e-01
3554.453,9.71841e-01,2.32388e-01
3556.986,3.39446e-01,2.35793e-01
3559.520,5.09818e-01,2.11756e-01
3562.053,3.32830e-01,1.87717e-01
3564.586,6.90376e-01,2.05713e-01
3567.119,4.00073e-01,2.10369e-01
3569.652,1.81953e-01,2.07879e-01
3572.186,7.63268e-01,1.99201e-01
3574.719,2.79170e-01,1.95621e-01
3577.252,7.64131e-01,1.53744e-01
3579.785,6.93693e-01,1.80373e-01
3582.319,7.97256e-01,1.77463e-01
3584.852,3.81639e-01,1.75487e-01
3587.385,7.54489e-01,1.74420e-01
3589.918,1.74577e-01,1.74928e-01
3592.451,5.50605e-01,1.90431e-01
3594.985,3.22954e-01,1.96165e-01
3597.518,1.29478e+00,1.83581e-01
3600.051,1.18059e+00,1.65273e-01
3602.584,4.37257e-01,1.66741e-01
3605.117,5.23333e-01,1.76641e-01
3607.651,8.33120e-01,1.55854e-01
