# DEC: -19.5125444444444
# TRANSIENT_ID: 75564
# REDSHIFT_ERR: None
# SPECTRUM_NOTES: None
# OBS_GROUP_ID: 55
# RLAP: None
# OBS_DATE: 2021-04-06 08:26:00+00:00
# UNIT_ID: None
# SPEC_DATA_FILE: None
# RA: 198.256583333333
# SPEC_PHASE: None
# SNID_PLOT_FILE: None
# FOLLOWUP_ID: None
# REDSHIFT_QUALITY: None
# DATA_QUALITY_ID: 7
# SPEC_PLOT_FILE: None
# REDSHIFT: None
# INSTRUMENT_ID: 1

wavelength,flux,fluxerr
3505.542,5.74375e+00,2.78865e-01
3508.083,5.66343e+00,2.58226e-01
3510.625,5.71745e+00,2.48557e-01
3513.167,5.95922e+00,2.59776e-01
3515.709,6.07549e+00,2.71164e-01
3518.250,5.84212e+00,2.70571e-01
3520.792,5.68005e+00,2.61088e-01
3523.334,6.00103e+00,2.61881e-01
3525.876,6.28224e+00,2.57387e-01
3528.417,5.86429e+00,2.57345e-01
3530.959,5.61396e+00,2.80343e-01
3533.501,6.13159e+00,2.80314e-01
3536.042,6.23597e+00,2.57008e-01
3538.584,6.42859e+00,2.54087e-01
3541.126,6.43005e+00,2.54508e-01
3543.668,6.55128e+00,2.81855e-01
3546.209,7.02476e+00,2.96474e-01
3548.751,7.34525e+00,2.92298e-01
3551.293,7.80377e+00,2.80056e-01
3553.835,7.55582e+00,2.81533e-01
3556.376,7.73166e+00,2.82567e-01
3558.918,7.87991e+00,2.95042e-01
3561.460,7.95025e+00,3.07278e-01
3564.002,8.09969e+00,2.92056e-01
3566.543,7.97104e+00,2.71306e-01
3569.085,8.29840e+00,2.72067e-01
3571.627,8.23202e+00,2.90091e-01
3574.168,8.27103e+00,2.98909e-01
3576.710,8.61682e+00,2.91860e-01
3579.252,8.97024e+00,2.76440e-01
3581.794,9.03032e+00,2.69654e-01
3584.335,9.37219e+00,2.84982e-01
3586.877,8.25624e+00,2.89824e-01
3589.419,9.43757e+00,3.02300e-01
3591.961,9.69128e+00,2.84892e-01
3594.502,9.82391e+00,2.75709e-01
3597.044,9.52134e+00,2.72243e-01
3599.586,1.01578e+01,2.95559e-01
3602.127,1.01178e+01,3.05525e-01
3604.669,9.95965e+00,2.91951e-01
3607.211,1.05792e+01,2.79322e-01
3609.753,9.77606e+00,2.64642e-01
3612.294,9.85145e+00,2.73685e-01
3614.836,9.59070e+00,2.96988e-01
3617.378,9.81449e+00,2.97021e-01
3619.920,9.97924e+00,2.73950e-01
3622.461,1.08949e+01,2.75515e-01
3625.003,1.04281e+01,2.73869e-01
3627.545,1.02858e+01,2.86872e-01
3630.086,1.05300e+01,2.99564e-01
3632.628,9.99918e+00,2.80735e-01
3635.170,1.09235e+01,2.72153e-01
3637.712,1.09824e+01,2.69001e-01
3640.253,1.03231e+01,2.67257e-01
3642.795,1.02869e+01,2.87316e-01
3645.337,1.01773e+01,2.87879e-01
3647.879,1.04020e+01,2.68714e-01
3650.420,1.00349e+01,2.58253e-01
3652.962,9.86687e+00,2.59225e-01
3655.504,9.41360e+00,2.62025e-01
3658.046,9.06777e+00,2.67567e-01
3660.587,9.24875e+00,2.57813e-01
3663.129,8.87877e+00,2.36402e-01
3665.671,9.00071e+00,2.32456e-01
3668.212,8.57029e+00,2.29143e-01
3670.754,8.46598e+00,2.42873e-01
