# DEC: -19.5125555555556
# TRANSIENT_ID: 75564
# REDSHIFT_ERR: None
# SPECTRUM_NOTES: None
# OBS_GROUP_ID: 55
# RLAP: None
# OBS_DATE: 2021-04-19 10:17:43.700000+00:00
# UNIT_ID: None
# SPEC_DATA_FILE: None
# RA: 198.256708333333
# SPEC_PHASE: None
# SNID_PLOT_FILE: None
# FOLLOWUP_ID: None
# REDSHIFT_QUALITY: None
# DATA_QUALITY_ID: None
# SPEC_PLOT_FILE: None
# REDSHIFT: None
# INSTRUMENT_ID: 1

wavelength,flux,fluxerr
3611.145,2.18306e+00,2.32741e-01
3613.675,1.19855e+00,1.99950e-01
3616.205,1.72086e+00,2.00133e-01
3618.735,1.17292e+00,2.11024e-01
3621.265,1.04005e+00,2.03319e-01
3623.795,1.56394e+00,2.20847e-01
3626.325,1.10366e+00,1.49088e-01
3628.855,1.42853e+00,1.91149e-01
3631.386,2.10382e+00,2.15710e-01
3633.916,2.07180e+00,2.68541e-01
3636.446,8.13350e-01,2.09465e-01
3638.976,1.67467e+00,1.99948e-01
3641.506,1.05327e+00,1.88562e-01
3644.036,1.83831e+00,2.24316e-01
3646.566,2.05301e+00,2.72396e-01
3649.096,1.54440e+00,3.12386e-01
3651.626,1.07327e+00,3.33332e-01
3654.156,1.22661e+00,3.11613e-01
3656.686,1.15491e+00,2.55930e-01
3659.216,1.77053e+00,2.59846e-01
3661.746,1.93755e+00,2.40986e-01
3664.276,1.45236e+00,2.48675e-01
3666.806,1.78675e+00,1.88013e-01
3669.336,1.52208e+00,1.83820e-01
3671.866,1.56655e+00,2.03945e-01
3674.396,1.32297e+00,1.70629e-01
3676.926,1.52399e+00,1.95011e-01
3679.456,1.60047e+00,1.59925e-01
3681.986,1.90084e+00,1.77870e-01
3684.516,2.04229e+00,1.85278e-01
3687.046,1.71301e+00,2.22410e-01
3689.576,1.99854e+00,1.85801e-01
3692.106,1.72198e+00,1.75197e-01
3694.636,1.74536e+00,1.64166e-01
3697.167,2.19680e+00,1.87184e-01
3699.697,2.03524e+00,1.84121e-01
3702.227,1.88899e+00,2.10521e-01
3704.757,2.13872e+00,1.73367e-01
3707.287,1.59117e+00,1.86238e-01
3709.817,1.89628e+00,1.71069e-01
3712.347,2.03439e+00,1.92388e-01
3714.877,1.84661e+00,2.10011e-01
3717.407,2.04535e+00,1.85789e-01
3719.937,2.26018e+00,1.78392e-01
3722.467,2.08598e+00,1.72820e-01
3724.997,1.82802e+00,1.71289e-01
3727.527,1.96673e+00,1.70116e-01
3730.057,2.01795e+00,1.76342e-01
3732.587,2.22585e+00,1.65001e-01
3735.117,1.88666e+00,1.65203e-01
3737.647,1.90416e+00,1.70154e-01
3740.177,2.09126e+00,1.84773e-01
3742.707,1.86918e+00,1.75181e-01
3745.237,2.08789e+00,1.54588e-01
3747.767,1.60301e+00,1.45276e-01
3750.297,1.77753e+00,1.66779e-01
3752.827,1.69468e+00,1.56317e-01
3755.357,1.36535e+00,1.22974e-01
3757.887,1.51555e+00,1.45582e-01
3760.417,1.72721e+00,1.37428e-01
3762.947,1.57893e+00,1.34649e-01
3765.478,1.11244e+00,1.33501e-01
3768.008,1.47255e+00,1.53795e-01
3770.538,1.33630e+00,1.35618e-01
3773.068,1.26450e+00,1.21127e-01
3775.598,9.57956e-01,1.21230e-01
3778.128,1.16800e+00,1.36315e-01
3780.658,1.06982e+00,1.18982e-01
3783.188,1.05664e+00,1.19211e-01
3785.718,8.38333e-01,1.17173e-01
3788.248,1.01757e+00,1.16442e-01
3790.778,1.18867e+00,1.28273e-01
3793.308,1.14650e+00,1.27748e-01
3795.838,7.47646e-01,1.00731e-01
3798.368,1.14175e+00,1.17666e-01
3800.898,1.05062e+00,1.16217e-01
3803.428,9.27395e-01,1.02195e-01
3805.958,1.10203e+00,1.20699e-01
3808.488,1.11366e+00,1.21888e-01
3811.018,9.92782e-01,1.16266e-01
3813.548,1.08626e+00,1.06207e-01
3816.078,1.17374e+00,1.13713e-01
3818.608,1.19005e+00,1.21377e-01
3821.138,8.24937e-01,1.03877e-01
3823.668,1.09027e+00,1.05001e-01
3826.198,1.02790e+00,1.02938e-01
3828.728,1.13109e+00,1.22120e-01
3831.259,1.34600e+00,1.06040e-01
3833.789,1.24963e+00,1.18620e-01
3836.319,1.33467e+00,1.11713e-01
3838.849,1.25084e+00,1.03039e-01
3841.379,1.15871e+00,1.06345e-01
3843.909,1.43521e+00,1.28841e-01
3846.439,1.34234e+00,1.20757e-01
3848.969,1.30435e+00,1.10266e-01
3851.499,1.38593e+00,1.21068e-01
3854.029,1.30731e+00,1.11503e-01
3856.559,1.25715e+00,1.16411e-01
3859.089,1.49428e+00,1.19159e-01
3861.619,1.48714e+00,1.13791e-01
3864.149,1.49849e+00,1.06872e-01
3866.679,1.72965e+00,1.11427e-01
3869.209,1.70465e+00,1.25751e-01
3871.739,1.67523e+00,1.24912e-01
3874.269,1.88640e+00,1.22797e-01
3876.799,1.99022e+00,1.16957e-01
3879.329,2.06486e+00,1.21505e-01
3881.859,2.27493e+00,1.29991e-01
3884.389,2.39662e+00,1.35007e-01
3886.919,2.18506e+00,1.24168e-01
3889.449,2.25196e+00,1.25016e-01
3891.979,2.16271e+00,1.29525e-01
3894.509,2.33812e+00,1.35341e-01
3897.040,2.64400e+00,1.42650e-01
3899.570,2.76511e+00,1.40825e-01
3902.100,3.00356e+00,1.39462e-01
3904.630,2.99392e+00,1.36766e-01
3907.160,2.50522e+00,1.45076e-01
3909.690,2.66374e+00,1.57337e-01
3912.220,3.35949e+00,1.63082e-01
3914.750,3.37155e+00,1.53576e-01
3917.280,3.05143e+00,1.40408e-01
3919.810,3.22497e+00,1.45234e-01
3922.340,3.19688e+00,1.49236e-01
3924.870,3.14676e+00,1.53448e-01
3927.400,3.29314e+00,1.39542e-01
3929.930,3.19126e+00,1.33082e-01
3932.460,3.24451e+00,1.40493e-01
3934.990,3.35629e+00,1.57302e-01
3937.520,3.35942e+00,1.50949e-01
3940.050,3.32005e+00,1.40199e-01
3942.580,3.28649e+00,1.35384e-01
3945.110,3.33994e+00,1.43807e-01
3947.640,3.53109e+00,1.55383e-01
3950.170,3.48701e+00,1.54302e-01
3952.700,3.56604e+00,1.45693e-01
3955.230,3.42949e+00,1.38733e-01
3957.760,3.75039e+00,1.42525e-01
3960.290,3.41828e+00,1.47339e-01
3962.820,3.61840e+00,1.53087e-01
3965.351,3.99030e+00,1.50259e-01
3967.881,3.84953e+00,1.37963e-01
3970.411,3.73346e+00,1.34163e-01
3972.941,3.94762e+00,1.46743e-01
3975.471,3.76279e+00,1.48554e-01
3978.001,3.78334e+00,1.44275e-01
3980.531,3.84386e+00,1.38756e-01
3983.061,3.91545e+00,1.38607e-01
3985.591,4.18966e+00,1.48092e-01
3988.121,4.24822e+00,1.56328e-01
3990.651,4.50412e+00,1.56366e-01
3993.181,4.05344e+00,1.40801e-01
3995.711,4.17522e+00,1.41755e-01
3998.241,4.42651e+00,1.51158e-01
4000.771,4.17780e+00,1.57943e-01
4003.301,4.09593e+00,1.50454e-01
4005.831,4.30611e+00,1.40546e-01
4008.361,4.07159e+00,1.36068e-01
4010.891,3.97490e+00,1.38793e-01
4013.421,4.03004e+00,1.49655e-01
4015.951,3.98897e+00,1.47191e-01
4018.481,3.82077e+00,1.38434e-01
4021.011,3.66565e+00,1.35765e-01
4023.541,3.72453e+00,1.46128e-01
4026.071,3.50820e+00,1.47102e-01
4028.601,3.78853e+00,1.49755e-01
4031.132,3.68898e+00,1.37387e-01
4033.662,3.37343e+00,1.27158e-01
4036.192,3.20698e+00,1.25537e-01
4038.722,3.15282e+00,1.32750e-01
4041.252,3.00422e+00,1.35378e-01
4043.782,3.20532e+00,1.46386e-01
4046.312,3.08863e+00,1.73910e-01
4048.842,2.97151e+00,1.82702e-01
4051.372,2.97278e+00,1.61033e-01
4053.902,3.07005e+00,1.39205e-01
4056.432,2.95682e+00,1.29906e-01
4058.962,2.75771e+00,1.16460e-01
