# DEC: -19.5125444444444
# TRANSIENT_ID: 75564
# REDSHIFT_ERR: None
# SPECTRUM_NOTES: None
# OBS_GROUP_ID: 65
# RLAP: None
# OBS_DATE: 2021-04-13 11:46:00+00:00
# UNIT_ID: None
# SPEC_DATA_FILE: None
# RA: 198.256583333333
# SPEC_PHASE: None
# SNID_PLOT_FILE: None
# FOLLOWUP_ID: None
# REDSHIFT_QUALITY: None
# DATA_QUALITY_ID: 7
# SPEC_PLOT_FILE: None
# REDSHIFT: None
# INSTRUMENT_ID: 1

wavelength,flux,fluxerr
3505.529,2.88821e+00,1.79798e-01
3508.058,2.76604e+00,1.67251e-01
3510.587,2.65522e+00,1.70202e-01
3513.116,2.46036e+00,1.76818e-01
3515.645,3.29323e+00,1.90020e-01
3518.174,2.97559e+00,1.62259e-01
3520.703,2.94363e+00,1.64332e-01
3523.232,3.31872e+00,1.85259e-01
3525.761,2.72746e+00,1.75273e-01
3528.291,3.11378e+00,1.74584e-01
3530.820,3.37866e+00,1.72057e-01
3533.349,3.34533e+00,1.80640e-01
3535.878,3.21427e+00,1.94351e-01
3538.407,3.28493e+00,1.89959e-01
3540.936,3.65367e+00,1.89410e-01
3543.465,3.66805e+00,1.80130e-01
3545.994,3.67956e+00,1.90355e-01
3548.523,4.28399e+00,2.10059e-01
3551.052,4.43959e+00,2.09485e-01
3553.581,4.62410e+00,1.98264e-01
3556.110,4.56832e+00,1.94122e-01
3558.639,4.75158e+00,2.04014e-01
3561.168,4.85957e+00,2.21160e-01
3563.697,5.15112e+00,2.14700e-01
3566.226,4.92365e+00,1.95583e-01
3568.755,4.93295e+00,1.96684e-01
3571.284,5.02730e+00,2.17166e-01
3573.814,4.57242e+00,2.08292e-01
3576.343,4.47551e+00,1.91068e-01
3578.872,4.37899e+00,1.85411e-01
3581.401,4.11741e+00,1.84412e-01
3583.930,4.78834e+00,2.07770e-01
3586.459,4.70274e+00,2.06263e-01
3588.988,4.94909e+00,1.94612e-01
3591.517,5.25602e+00,1.93942e-01
3594.046,4.89755e+00,2.00504e-01
3596.575,5.07255e+00,2.11779e-01
3599.104,5.40065e+00,2.07715e-01
3601.633,5.18949e+00,1.93897e-01
3604.162,5.36454e+00,1.96202e-01
3606.691,5.49460e+00,2.16432e-01
3609.220,5.41804e+00,2.15852e-01
3611.749,5.27352e+00,1.97194e-01
3614.278,5.57180e+00,1.95230e-01
3616.807,5.83489e+00,2.05554e-01
3619.337,5.55064e+00,2.13729e-01
3621.866,5.52515e+00,2.05720e-01
3624.395,5.70577e+00,1.93098e-01
3626.924,5.64638e+00,1.90545e-01
3629.453,5.41451e+00,1.96766e-01
3631.982,5.18303e+00,1.98815e-01
3634.511,5.16217e+00,1.88082e-01
3637.040,5.26631e+00,1.80324e-01
3639.569,5.26406e+00,1.85521e-01
3642.098,4.99557e+00,1.99580e-01
3644.627,4.87221e+00,1.99495e-01
3647.156,4.65445e+00,1.79704e-01
3649.685,4.48133e+00,1.63704e-01
3652.214,4.33252e+00,1.65417e-01
3654.743,4.58207e+00,1.78020e-01
3657.272,4.14858e+00,1.68406e-01
3659.801,4.35045e+00,1.60763e-01
3662.330,4.24414e+00,1.52734e-01
3664.859,4.21850e+00,1.60306e-01
3667.389,4.36195e+00,1.64750e-01
3669.918,4.35385e+00,1.55951e-01
3672.447,4.44308e+00,1.51329e-01
3674.976,4.43257e+00,1.52272e-01
3677.505,4.66048e+00,1.66945e-01
3680.034,4.83060e+00,1.68609e-01
3682.563,5.00925e+00,1.55526e-01
3685.092,4.90957e+00,1.51201e-01
3687.621,5.02151e+00,1.59946e-01
3690.150,5.04560e+00,1.69668e-01
3692.679,5.30321e+00,1.67508e-01
3695.208,5.48543e+00,1.59829e-01
3697.737,5.29096e+00,1.55372e-01
3700.266,5.36381e+00,1.67452e-01
3702.795,5.30690e+00,1.68694e-01
3705.324,5.09858e+00,1.57228e-01
3707.853,5.07038e+00,1.48718e-01
3710.382,5.15120e+00,1.52890e-01
3712.912,5.01842e+00,1.62320e-01
3715.441,5.02993e+00,1.61513e-01
3717.970,4.86838e+00,1.45273e-01
3720.499,4.58810e+00,1.37788e-01
3723.028,4.78318e+00,1.46604e-01
3725.557,4.67997e+00,1.53109e-01
3728.086,4.64847e+00,1.47772e-01
3730.615,4.56861e+00,1.37738e-01
3733.144,4.60645e+00,1.35948e-01
3735.673,4.49933e+00,1.44493e-01
3738.202,4.34351e+00,1.45903e-01
3740.731,4.64400e+00,1.41379e-01
3743.260,4.12949e+00,1.25889e-01
3745.789,4.00003e+00,1.26567e-01
3748.318,3.65014e+00,1.31475e-01
3750.847,3.58150e+00,1.28165e-01
3753.376,3.69041e+00,1.20870e-01
3755.905,3.49897e+00,1.16005e-01
3758.435,3.11738e+00,1.14521e-01
3760.964,3.07329e+00,1.19016e-01
3763.493,3.16195e+00,1.15080e-01
3766.022,3.13846e+00,1.05784e-01
3768.551,3.09632e+00,1.07251e-01
3771.080,2.84725e+00,1.09862e-01
3773.609,3.07847e+00,1.16342e-01
3776.138,3.08619e+00,1.07309e-01
3778.667,3.08412e+00,1.02650e-01
3781.196,3.08050e+00,1.04957e-01
3783.725,2.99964e+00,1.12226e-01
3786.254,2.96373e+00,1.09784e-01
3788.783,2.95261e+00,1.02207e-01
3791.312,2.87137e+00,9.89226e-02
3793.841,2.90864e+00,1.04686e-01
3796.370,2.85777e+00,1.05537e-01
3798.899,2.88149e+00,1.03365e-01
3801.428,2.72201e+00,9.43555e-02
3803.957,2.82800e+00,1.01888e-01
3806.487,3.04428e+00,1.09813e-01
3809.016,3.30145e+00,1.11626e-01
3811.545,3.14788e+00,1.01351e-01
3814.074,3.26662e+00,1.01419e-01
3816.603,3.29716e+00,1.03901e-01
3819.132,3.34860e+00,1.10705e-01
3821.661,3.36116e+00,1.07661e-01
3824.190,3.42665e+00,9.99820e-02
3826.719,3.40937e+00,9.97768e-02
3829.248,3.31459e+00,1.03942e-01
3831.777,3.38605e+00,1.07283e-01
3834.306,3.49480e+00,1.05163e-01
3836.835,3.63427e+00,1.01934e-01
3839.364,3.52795e+00,1.00015e-01
3841.893,3.80469e+00,1.11272e-01
3844.422,3.87851e+00,1.11903e-01
3846.951,3.80854e+00,1.02904e-01
3849.480,3.75961e+00,9.91801e-02
3852.010,3.85822e+00,1.03087e-01
3854.539,3.97715e+00,1.10370e-01
3857.068,4.17220e+00,1.10089e-01
3859.597,4.37061e+00,1.04005e-01
3862.126,4.61672e+00,1.05738e-01
3864.655,4.49216e+00,1.10658e-01
3867.184,4.45863e+00,1.13463e-01
3869.713,4.73270e+00,1.10612e-01
3872.242,4.85320e+00,1.06738e-01
3874.771,4.92530e+00,1.09227e-01
3877.300,5.09072e+00,1.20210e-01
3879.829,5.24944e+00,1.21371e-01
3882.358,5.27838e+00,1.12266e-01
3884.887,5.55633e+00,1.11743e-01
3887.416,5.78700e+00,1.17717e-01
3889.945,5.99493e+00,1.27113e-01
3892.474,6.19004e+00,1.26596e-01
3895.003,6.42690e+00,1.19900e-01
3897.532,6.61417e+00,1.21063e-01
3900.062,6.97515e+00,1.32126e-01
3902.591,7.24839e+00,1.38100e-01
3905.120,7.38304e+00,1.32125e-01
3907.649,7.61983e+00,1.28410e-01
3910.178,7.71694e+00,1.32009e-01
3912.707,8.12752e+00,1.45184e-01
3915.236,7.99580e+00,1.44216e-01
3917.765,7.86834e+00,1.30377e-01
3920.294,8.21633e+00,1.29848e-01
3922.823,8.23172e+00,1.35936e-01
3925.352,8.42968e+00,1.43717e-01
3927.881,8.78884e+00,1.41204e-01
3930.410,8.51300e+00,1.30494e-01
3932.939,8.09055e+00,1.27369e-01
3935.468,8.28620e+00,1.37053e-01
3937.997,8.54194e+00,1.42606e-01
3940.526,9.17376e+00,1.39023e-01
3943.055,9.27791e+00,1.34609e-01
3945.585,9.26414e+00,1.38178e-01
3948.114,9.54005e+00,1.51413e-01
3950.643,9.54900e+00,1.50949e-01
3953.172,9.25598e+00,1.36764e-01
3955.701,9.32465e+00,1.34710e-01
3958.230,9.40750e+00,1.41566e-01
3960.759,9.86964e+00,1.52349e-01
3963.288,9.71448e+00,1.46098e-01
3965.817,9.30583e+00,1.33710e-01
3968.346,9.33528e+00,1.33693e-01
3970.875,9.14570e+00,1.40778e-01
3973.404,9.45219e+00,1.46076e-01
3975.933,9.85655e+00,1.39596e-01
3978.462,9.99693e+00,1.33937e-01
3980.991,1.03057e+01,1.39470e-01
3983.520,1.01822e+01,1.48383e-01
3986.049,1.02899e+01,1.47702e-01
3988.578,1.02834e+01,1.36682e-01
3991.108,1.04859e+01,1.34763e-01
3993.637,1.05772e+01,1.41238e-01
3996.166,1.04263e+01,1.46604e-01
3998.695,1.02244e+01,1.39338e-01
4001.224,1.02376e+01,1.30906e-01
4003.753,1.00150e+01,1.29967e-01
4006.282,9.85483e+00,1.42002e-01
4008.811,9.74191e+00,1.39367e-01
4011.340,9.29548e+00,1.27648e-01
4013.869,8.93838e+00,1.20720e-01
4016.398,8.57723e+00,1.22210e-01
4018.927,8.48233e+00,1.30850e-01
4021.456,8.16916e+00,1.27685e-01
4023.985,8.07900e+00,1.17707e-01
4026.514,7.85155e+00,1.13655e-01
4029.043,7.70805e+00,1.18649e-01
4031.572,7.53751e+00,1.22023e-01
4034.101,7.58758e+00,1.17442e-01
4036.630,7.44691e+00,1.09698e-01
4039.160,7.33610e+00,1.09642e-01
4041.689,7.15260e+00,1.17832e-01
4044.218,6.86986e+00,1.20291e-01
4046.747,6.94565e+00,1.17368e-01
4049.276,6.75125e+00,1.10022e-01
4051.805,6.71349e+00,1.08698e-01
4054.334,6.56524e+00,1.13061e-01
4056.863,6.30398e+00,1.09058e-01
4059.392,6.36951e+00,1.01842e-01
4061.921,6.10086e+00,9.79583e-02
4064.450,6.09656e+00,1.03878e-01
4066.979,6.07430e+00,1.07088e-01
4069.508,6.00116e+00,1.02187e-01
4072.037,6.10487e+00,9.69767e-02
4074.566,6.35497e+00,1.00792e-01
4077.095,6.38235e+00,1.09525e-01
4079.624,6.25414e+00,1.09263e-01
4082.153,6.40727e+00,1.01845e-01
4084.683,6.77607e+00,1.01016e-01
4087.212,6.90550e+00,1.05290e-01
4089.741,7.11829e+00,1.13651e-01
4092.270,7.35628e+00,1.12517e-01
4094.799,7.54297e+00,1.05407e-01
4097.328,7.44932e+00,1.03512e-01
4099.857,7.75579e+00,1.11883e-01
4102.386,7.86840e+00,1.16466e-01
4104.915,7.81855e+00,1.09837e-01
4107.444,7.75699e+00,1.04895e-01
4109.973,7.57924e+00,1.04716e-01
4112.502,7.31628e+00,1.11388e-01
4115.031,7.05931e+00,1.10038e-01
4117.560,6.87319e+00,1.00286e-01
4120.089,6.73023e+00,9.61389e-02
4122.618,6.58015e+00,9.95493e-02
4125.147,6.19971e+00,1.01982e-01
4127.676,6.15383e+00,9.93594e-02
4130.206,6.12019e+00,9.25032e-02
4132.735,6.22448e+00,9.30259e-02
4135.264,6.17035e+00,9.81162e-02
4137.793,6.19483e+00,1.01070e-01
4140.322,6.37692e+00,9.70418e-02
4142.851,6.40035e+00,9.24344e-02
4145.380,6.52599e+00,9.49081e-02
4147.909,6.57691e+00,1.03256e-01
4150.438,6.67182e+00,1.04020e-01
4152.967,6.68707e+00,9.60950e-02
4155.496,6.68217e+00,9.37762e-02
4158.025,6.85599e+00,9.88714e-02
4160.554,6.79305e+00,1.03735e-01
4163.083,6.90577e+00,1.02408e-01
4165.612,6.81093e+00,9.51116e-02
4168.141,6.74811e+00,9.43611e-02
4170.670,6.75608e+00,1.00435e-01
4173.199,6.84084e+00,1.03284e-01
4175.728,6.71344e+00,9.71066e-02
4178.258,6.68604e+00,9.25889e-02
4180.787,6.67752e+00,9.48344e-02
4183.316,6.53654e+00,1.01355e-01
4185.845,6.73097e+00,1.02237e-01
4188.374,6.74981e+00,9.43993e-02
4190.903,6.60101e+00,9.18833e-02
4193.432,6.81647e+00,9.76779e-02
4195.961,7.01351e+00,1.03464e-01
4198.490,7.06044e+00,1.00618e-01
4201.019,7.28619e+00,9.61445e-02
4203.548,7.61276e+00,9.86132e-02
4206.077,7.61000e+00,1.05409e-01
4208.606,7.77351e+00,1.08345e-01
4211.135,7.93404e+00,1.02994e-01
4213.664,8.09997e+00,9.97938e-02
4216.193,8.08943e+00,1.02388e-01
4218.722,8.45793e+00,1.12275e-01
4221.251,8.42677e+00,1.11480e-01
4223.781,8.29527e+00,1.01803e-01
4226.310,8.22520e+00,9.94452e-02
4228.839,7.86855e+00,1.02459e-01
4231.368,7.79175e+00,1.06751e-01
4233.897,7.50605e+00,1.01438e-01
4236.426,7.53605e+00,9.57105e-02
4238.955,7.35829e+00,9.49774e-02
4241.484,7.02896e+00,9.95440e-02
4244.013,7.05804e+00,1.01408e-01
4246.542,7.13897e+00,9.61221e-02
4249.071,7.15176e+00,9.27243e-02
4251.600,7.35415e+00,9.65034e-02
4254.129,7.24637e+00,1.02364e-01
4256.658,7.32962e+00,1.01559e-01
4259.187,7.13497e+00,9.29489e-02
4261.716,7.09715e+00,9.15341e-02
4264.245,7.05817e+00,9.60857e-02
4266.774,7.23323e+00,1.01102e-01
4269.304,7.29419e+00,9.75226e-02
4271.833,7.16487e+00,9.10816e-02
