59292.82536 g 16.119 0.013
59292.82630 r 15.732 0.013
59292.82725 i 16.018 0.014
59292.82817 z 15.899 0.018
59293.59466 g 15.517 0.013
59293.59560 r 15.484 0.013
59293.59870 g 15.274 0.012
59293.59965 r 15.417 0.012
59293.60059 i 15.687 0.014
59293.60153 z 15.631 0.016
59297.73718 r 14.413 0.011
59297.73811 i 14.672 0.012
59297.73907 z 14.831 0.014
59298.64068 r 14.348 0.011
59298.64163 i 14.630 0.012
59298.64258 z 14.779 0.014
59300.63058 g 13.993 0.012
59300.63152 r 14.111 0.012
59300.63244 i 14.574 0.012
59300.63337 z 14.663 0.015
59309.68833 g 13.966 0.011
59309.68927 r 13.990 0.011
59309.69021 i 14.721 0.012
59309.69115 z 14.825 0.013
59311.59704 g 14.095 0.011
59311.59796 r 14.135 0.011
59311.59891 i 14.808 0.012
59311.59985 z 14.933 0.013
59333.65418 z 14.934 0.014
59333.65742 r 14.977 0.013
59333.65836 i 15.152 0.013
59333.65932 z 14.909 0.014
59334.51865 r 15.113 0.013
59334.51957 i 15.183 0.013
59334.52049 z 14.975 0.015
59335.60888 g 15.975 0.013
59335.60980 r 15.149 0.012
59335.61073 i 15.223 0.013
59335.61166 z 14.984 0.014
