dateobs jd mag dmag telescope filter magtype
2021-03-22 2459296.39698 14.7439 0.0269 1m0-13 V 1
2021-03-22 2459296.39792 14.6411 0.0257 1m0-13 g 1
2021-03-22 2459296.40180 14.7358 0.0472 1m0-13 i 1
2021-03-22 2459296.40258 14.6870 0.0391 1m0-13 i 1
2021-03-23 2459296.60760 14.7175 0.0301 1m0-12 B 1
2021-03-23 2459296.60860 14.6456 0.0201 1m0-12 B 1
2021-03-23 2459296.60979 14.7318 0.0318 1m0-12 V 1
2021-03-23 2459296.61054 14.7472 0.0341 1m0-12 V 1
2021-03-23 2459296.61148 14.6042 0.0313 1m0-12 g 1
2021-03-23 2459296.61249 14.5946 0.0263 1m0-12 g 1
2021-03-23 2459296.61369 14.7719 0.0379 1m0-12 r 1
2021-03-23 2459296.61445 14.7793 0.0316 1m0-12 r 1
2021-03-23 2459296.61538 14.9374 0.0333 1m0-12 i 1
2021-03-23 2459296.61614 14.9782 0.0341 1m0-12 i 1
2021-03-24 2459297.64201 14.4664 0.0157 1m0-05 B 1
2021-03-24 2459297.64301 14.4720 0.0168 1m0-05 B 1
2021-03-24 2459297.64419 14.4636 0.0169 1m0-05 V 1
2021-03-24 2459297.64484 14.4839 0.0165 1m0-05 V 1
2021-03-24 2459297.64566 14.3066 0.0140 1m0-05 g 1
2021-03-24 2459297.64672 14.3041 0.0136 1m0-05 g 1
2021-03-24 2459297.64794 14.4902 0.0150 1m0-05 r 1
2021-03-26 2459299.61258 14.2154 0.0163 1m0-05 B 1
2021-03-26 2459299.61359 14.2157 0.0165 1m0-05 B 1
2021-03-26 2459299.61478 14.2161 0.0199 1m0-05 V 1
2021-03-26 2459299.61542 14.2003 0.0261 1m0-05 V 1
2021-03-26 2459299.61625 14.0429 0.0143 1m0-05 g 1
2021-03-26 2459299.61724 14.0397 0.0148 1m0-05 g 1
2021-03-26 2459299.61910 14.2272 0.0179 1m0-05 r 1
2021-03-26 2459299.61991 14.5661 0.0231 1m0-05 i 1
2021-03-28 2459302.04885 14.0926 0.0164 1m0-03 B 1
2021-03-28 2459302.04986 14.0933 0.0161 1m0-03 B 1
2021-03-28 2459302.05105 14.0268 0.0180 1m0-03 V 1
2021-03-28 2459302.05170 14.0290 0.0180 1m0-03 V 1
2021-03-28 2459302.05252 13.9182 0.0147 1m0-03 g 1
2021-03-28 2459302.05470 14.0601 0.0171 1m0-03 r 1
2021-03-28 2459302.05536 14.0359 0.0166 1m0-03 r 1
2021-03-28 2459302.05621 14.4730 0.0219 1m0-03 i 1
2021-03-28 2459302.05687 14.4622 0.0211 1m0-03 i 1
2021-03-31 2459305.37647 13.9746 0.0253 1m0-12 B 1
2021-03-31 2459305.37747 13.9717 0.0250 1m0-12 B 1
2021-03-31 2459305.37864 13.9587 0.0268 1m0-12 V 1
2021-03-31 2459305.37929 13.9678 0.0270 1m0-12 V 1
2021-03-31 2459305.38011 13.8559 0.0277 1m0-12 g 1
2021-03-31 2459305.38112 13.8372 0.0275 1m0-12 g 1
2021-03-31 2459305.38232 13.9986 0.0310 1m0-12 r 1
2021-03-31 2459305.38297 13.9968 0.0298 1m0-12 r 1
2021-03-31 2459305.38378 14.5497 0.0352 1m0-12 i 1
2021-03-31 2459305.38444 14.5416 0.0371 1m0-12 i 1
2021-04-02 2459307.34012 14.0218 0.0195 1m0-12 B 1
2021-04-02 2459307.34113 14.0204 0.0198 1m0-12 B 1
2021-04-02 2459307.34230 13.9170 0.0214 1m0-12 V 1
2021-04-02 2459307.34295 13.9279 0.0201 1m0-12 V 1
2021-04-02 2459307.34377 13.8415 0.0178 1m0-12 g 1
2021-04-02 2459307.34478 13.8509 0.0175 1m0-12 g 1
2021-04-02 2459307.34597 13.9829 0.0244 1m0-12 r 1
2021-04-02 2459307.34662 13.9758 0.0240 1m0-12 r 1
2021-04-03 2459308.24238 14.0310 0.0166 1m0-03 B 1
2021-04-03 2459308.24339 14.0414 0.0183 1m0-03 B 1
2021-04-03 2459308.24457 13.9224 0.0181 1m0-03 V 1
2021-04-03 2459308.24523 13.9284 0.0178 1m0-03 V 1
2021-04-03 2459308.24604 13.9046 0.0161 1m0-03 g 1
2021-04-03 2459308.24706 13.8977 0.0163 1m0-03 g 1
2021-04-03 2459308.24825 13.9653 0.0202 1m0-03 r 1
2021-04-03 2459308.24890 13.9622 0.0183 1m0-03 r 1
2021-04-03 2459308.24972 14.6299 0.0250 1m0-03 i 1
2021-04-03 2459308.25038 14.6231 0.0234 1m0-03 i 1
2021-04-06 2459310.85057 14.1350 0.0153 1m0-05 B 1
2021-04-06 2459310.85158 14.1242 0.0162 1m0-05 B 1
2021-04-06 2459310.85276 13.9889 0.0168 1m0-05 V 1
2021-04-06 2459310.85340 13.9713 0.0157 1m0-05 V 1
2021-04-06 2459310.85423 13.8914 0.0123 1m0-05 g 1
2021-04-06 2459310.85523 13.9053 0.0129 1m0-05 g 1
2021-04-06 2459310.85640 14.0123 0.0163 1m0-05 r 1
2021-04-06 2459310.85706 14.0225 0.0151 1m0-05 r 1
2021-04-06 2459310.85787 14.7328 0.0230 1m0-05 i 1
2021-04-06 2459310.85853 14.7269 0.0215 1m0-05 i 1
2021-04-08 2459312.76718 14.2743 0.0155 1m0-04 B 1
2021-04-08 2459312.76936 14.0885 0.0188 1m0-04 V 1
2021-04-08 2459312.76999 14.0802 0.0181 1m0-04 V 1
2021-04-08 2459312.77082 14.1218 0.0144 1m0-04 g 1
2021-04-08 2459312.77181 14.1180 0.0140 1m0-04 g 1
2021-04-08 2459312.77298 14.1287 0.0165 1m0-04 r 1
2021-04-08 2459312.77363 14.1471 0.0172 1m0-04 r 1
2021-04-08 2459312.77444 14.7948 0.0224 1m0-04 i 1
2021-04-09 2459313.99616 14.3215 0.0162 1m0-03 B 1
2021-04-09 2459313.99716 14.3544 0.0206 1m0-03 B 1
2021-04-09 2459313.99833 14.1281 0.0202 1m0-03 V 1
2021-04-09 2459313.99897 14.1428 0.0230 1m0-03 V 1
2021-04-09 2459314.00080 14.1243 0.0202 1m0-03 g 1
2021-04-09 2459314.00198 14.2270 0.0257 1m0-03 r 1
2021-04-09 2459314.00264 14.2085 0.0223 1m0-03 r 1
2021-04-09 2459314.00345 14.8537 0.0268 1m0-03 i 1
2021-04-09 2459314.00411 14.8558 0.0267 1m0-03 i 1
2021-04-12 2459317.30874 14.5265 0.0380 1m0-13 B 1
2021-04-12 2459317.31091 14.2546 0.0379 1m0-13 V 1
2021-04-12 2459317.31156 14.2401 0.0370 1m0-13 V 1
2021-04-12 2459317.31237 14.2720 0.0345 1m0-13 g 1
2021-04-12 2459317.31338 14.2787 0.0449 1m0-13 g 1
2021-04-12 2459317.31601 15.3184 0.0613 1m0-13 i 1
2021-04-18 2459322.63163 15.2160 0.0189 1m0-04 B 1
2021-04-18 2459322.63264 15.2233 0.0192 1m0-04 B 1
2021-04-18 2459322.63381 14.6594 0.0224 1m0-04 V 1
2021-04-18 2459322.63445 14.6612 0.0205 1m0-04 V 1
2021-04-18 2459322.63528 14.8423 0.0180 1m0-04 g 1
2021-04-18 2459322.63628 14.8329 0.0193 1m0-04 g 1
2021-04-18 2459322.63811 14.7365 0.0205 1m0-04 r 1
2021-04-18 2459322.63893 15.1871 0.0197 1m0-04 i 1
2021-04-22 2459326.71477 15.6983 0.0205 1m0-04 B 1
2021-04-22 2459326.71577 15.7058 0.0194 1m0-04 B 1
2021-04-22 2459326.71695 14.8639 0.0221 1m0-04 V 1
2021-04-22 2459326.71760 14.8313 0.0172 1m0-04 V 1
2021-04-22 2459326.71843 15.2529 0.0156 1m0-04 g 1
2021-04-22 2459326.71943 15.2314 0.0136 1m0-04 g 1
2021-04-22 2459326.72060 14.8082 0.0178 1m0-04 r 1
2021-04-22 2459326.72207 15.1268 0.0219 1m0-04 i 1
2021-04-22 2459326.72276 15.1164 0.0251 1m0-04 i 1
2021-04-28 2459332.66908 16.2412 0.0243 1m0-04 B 1
2021-04-28 2459332.67008 16.2183 0.0247 1m0-04 B 1
2021-04-28 2459332.67125 15.2132 0.0196 1m0-04 V 1
2021-04-28 2459332.67271 15.8060 0.0178 1m0-04 g 1
2021-04-28 2459332.67372 15.7919 0.0190 1m0-04 g 1
2021-04-28 2459332.67489 14.9210 0.0193 1m0-04 r 1
2021-04-28 2459332.67554 14.9450 0.0200 1m0-04 r 1
2021-04-28 2459332.67636 14.9870 0.0226 1m0-04 i 1
2021-04-28 2459332.67701 15.0016 0.0222 1m0-04 i 1
2021-05-03 2459337.99188 16.6859 0.0208 1m0-11 B 1
2021-05-03 2459337.99323 16.6617 0.0171 1m0-11 B 1
2021-05-03 2459337.99475 15.5351 0.0174 1m0-11 V 1
2021-05-03 2459337.99576 15.6149 0.0196 1m0-11 V 1
2021-05-03 2459337.99694 16.2549 0.0154 1m0-11 g 1
2021-05-03 2459337.99830 16.2669 0.0135 1m0-11 g 1
2021-05-03 2459337.99982 15.3383 0.0205 1m0-11 r 1
2021-05-03 2459338.00083 15.3189 0.0213 1m0-11 r 1
2021-05-03 2459338.00202 15.3226 0.0207 1m0-11 i 1
