SN2021fxy 0.0094 198.256560801 -19.5125038193
filter Us
59297.14565999992 14.3066 0.014
59297.14672000008 14.3041 0.0136
59299.11624999996 14.0429 0.0143
59299.11724000005 14.0397 0.0148
59301.55251999991 13.9182 0.0147
59304.880109999795 13.8559 0.0277
59304.881120000035 13.8372 0.0275
59306.84377000015 13.8415 0.0178
59306.84477999993 13.8509 0.0175
59307.746040000115 13.9046 0.0161
59307.747059999965 13.8977 0.0163
59310.35423000017 13.8914 0.0123
59310.35522999987 13.9053 0.0129
59312.27082000021 14.1218 0.0144
59312.27180999983 14.118 0.014
59313.50080000004 14.1243 0.0202
59316.81236999994 14.272 0.0345
59316.81338000018 14.2787 0.0449
59322.135280000046 14.8423 0.018
59322.13628000021 14.8329 0.0193
59326.21842999989 15.2529 0.0156
59326.219430000056 15.2314 0.0136
59332.17271000007 15.806 0.0178
59332.173719999846 15.7919 0.019
59337.49693999998 16.2549 0.0154
59337.498300000094 16.2669 0.0135
59342.150799999945 16.4515 0.0246
59342.15214999998 16.4848 0.0146
filter r_s
59291.08949000016 16.4005 0.0339
59291.406049999874 16.4449 0.0159
59291.963680000044 16.1578 0.0348
59291.96503000008 16.1501 0.0339
59292.27610999998 15.6082 0.0264
59293.102729999926 15.5281 0.0165
59293.10407999996 15.4703 0.0174
59294.105750000104 15.154 0.0136
59294.10710000014 15.1908 0.0133
59294.36670000013 15.1179 0.0169
59294.368050000165 15.1178 0.016
59294.84708000021 14.9359 0.0295
59294.848439999856 14.9305 0.0192
59295.16514000017 14.8758 0.0155
59295.16648000013 14.8638 0.0166
59295.23735000007 14.8611 0.0191
59295.2381099998 14.8769 0.0163
59296.11369000003 14.7719 0.0379
59296.11445000023 14.7793 0.0316
59297.14794000005 14.4902 0.015
59299.11909999978 14.2272 0.0179
59301.55470000021 14.0601 0.0171
59301.555360000115 14.0359 0.0166
59304.88231999986 13.9986 0.031
59304.88297000015 13.9968 0.0298
59306.84597000014 13.9829 0.0244
59306.84661999997 13.9758 0.024
59307.74825000018 13.9653 0.0202
59307.748900000006 13.9622 0.0183
59310.35639999993 14.0123 0.0163
59310.357059999835 14.0225 0.0151
59312.27297999989 14.1287 0.0165
59312.273630000185 14.1471 0.0172
59313.501980000176 14.227 0.0257
59313.50264000008 14.2085 0.0223
59322.138110000174 14.7365 0.0205
59326.22060000012 14.8082 0.0178
59332.17488999991 14.921 0.0193
59332.1755400002 14.945 0.02
59337.49982000003 15.3383 0.0205
59337.5008299998 15.3189 0.0213
59342.15367999999 15.5776 0.0199
59342.15468000015 15.5857 0.0178
filter i_s
59291.40756999981 16.758 0.0241
59291.40891999984 16.7131 0.0261
59291.96655000001 16.405 0.0312
59291.96788999997 16.4136 0.0303
59293.106960000005 15.7432 0.0219
59294.10862000007 15.4283 0.0196
59294.10997000011 15.441 0.0202
59294.3695700001 15.338 0.0201
59294.37093000021 15.3377 0.0207
59294.84995000018 15.2292 0.0319
59294.85130000021 15.2423 0.0308
59295.16800000006 15.0823 0.0218
59295.16934000002 15.1081 0.0191
59295.239049999975 15.0994 0.0227
59295.239810000174 15.0783 0.0235
59296.11537999986 14.963 0.0327
59296.11614000006 14.9389 0.0317
59299.11990999989 14.5804 0.0246
59299.120560000185 14.5739 0.0256
59301.55621000007 14.4938 0.0213
59301.55686999997 14.4935 0.0214
59304.8837799998 14.5914 0.0326
59304.88444000017 14.5605 0.0327
59307.749720000196 14.6299 0.025
59307.7503800001 14.6231 0.0234
59310.35786999995 14.7328 0.023
59310.35852999985 14.7269 0.0215
59312.274439999834 14.7948 0.0224
59313.50345000019 14.8537 0.0268
59313.504110000096 14.8558 0.0267
59316.816010000184 15.3184 0.0613
59322.1389299999 15.1871 0.0197
59326.222070000134 15.1268 0.0219
59326.2227599998 15.1164 0.0251
59332.176359999925 14.987 0.0226
59332.17701000022 15.0016 0.0222
59337.502020000014 15.3226 0.0207
59337.50302000018 15.2839 0.0196
59342.155859999824 15.6253 0.0198
59342.15685999999 15.6181 0.0193
