#57540.34722 z 21.585 0.522
#57540.34722 i 22.199 0.846
#57540.34722 r 22.680 1.691
#57540.34722 g 22.913 1.829
59295.27913 z 15.211 0.036
59295.28048 i 15.145 0.051
59295.28183 r 14.799 0.019
59295.28338 g 14.884 0.030
59296.27554 i 15.019 0.061
59296.27689 r 14.604 0.020
59296.27826 g 14.551 0.021
59297.45250 z 14.815 0.029
59297.45387 i 14.748 0.018
59297.45522 r 14.412 0.015
59297.45658 g 14.337 0.016
#59298.26239 g 22.931 0.332
59299.24964 z 14.734 0.033
59299.25098 i 14.583 0.020
59299.25234 r 14.238 0.018
59299.25370 g 14.129 0.025
59300.26119 z 14.564 0.056
59300.26255 i 14.540 0.030
59300.26391 r 14.088 0.031
59300.26526 g 14.010 0.076
59301.26503 z 14.584 0.026
59301.26639 i 14.549 0.020
59301.26776 r 14.073 0.017
59301.26913 g 13.964 0.024
59302.26314 z 14.454 0.043
59302.26470 i 14.552 0.029
59302.26630 r 14.043 0.024
59302.26767 g 13.937 0.042
59303.23322 z 14.528 0.044
59303.23459 i 14.595 0.027
59303.23595 r 13.981 0.022
59303.23731 g 13.923 0.037
59304.23365 z 14.500 0.050
59304.23520 i 14.631 0.044
59304.23676 r 13.935 0.029
59304.23832 g 13.909 0.042
59305.23326 z 14.646 0.028
59305.23462 i 14.632 0.017
59305.23599 r 14.004 0.014
59305.23735 g 13.905 0.014
59306.21603 z 14.572 0.023
59306.21739 i 14.657 0.017
59306.21876 r 13.960 0.014
59306.22012 g 13.899 0.014
59307.23759 z 14.615 0.025
59307.23895 i 14.668 0.021
59307.24031 r 13.942 0.016
59307.24168 g 13.933 0.015
59308.21455 z 14.680 0.021
59308.21593 i 14.700 0.016
59308.21732 r 13.982 0.013
59308.21869 g 13.963 0.013
59310.22085 z 14.714 0.078
59310.22222 i 14.755 0.039
59310.22359 r 14.060 0.024
59310.22494 g 13.948 0.034
59311.24644 z 14.769 0.024
59311.24781 i 14.796 0.015
59311.24918 r 14.086 0.013
59311.25055 g 14.027 0.014
59312.22376 z 14.811 0.043
59312.22513 i 14.809 0.022
59312.22650 r 14.137 0.019
59312.22805 g 14.092 0.019
59313.26730 z 14.823 0.046
59313.26867 i 14.875 0.020
59313.27004 r 14.179 0.016
59313.27140 g 14.112 0.019
59314.23028 z 14.875 0.038
59314.23164 i 14.987 0.028
59314.23302 r 14.252 0.015
59314.23439 g 14.157 0.015
59315.22756 z 14.928 0.057
59315.22894 i 14.997 0.032
59315.23030 r 14.290 0.022
59315.23165 g 14.217 0.031
59317.18615 z 15.066 0.034
59317.18753 i 15.260 0.023
59317.18895 r 14.504 0.016
59317.19034 g 14.388 0.018
59319.21850 z 15.072 0.040
59319.22004 i 15.223 0.025
59319.22139 r 14.640 0.016
59319.22275 g 14.554 0.017
59320.20430 z 14.969 0.030
59320.20566 i 15.268 0.021
59320.20703 r 14.672 0.016
59320.20839 g 14.590 0.016
59321.18923 z 15.006 0.045
59321.19061 i 15.188 0.026
59321.19196 r 14.714 0.018
59321.19332 g 14.689 0.029
59322.20558 g 14.725 0.046
59322.20684 r 14.645 0.027
59322.20810 i 15.177 0.040
59322.20935 z 14.981 0.065
59323.18236 g 14.864 0.031
59323.18362 r 14.698 0.020
59323.18486 i 15.250 0.022
59323.18612 z 14.973 0.034
59324.18331 g 14.945 0.021
59324.18456 r 14.753 0.017
59324.18582 i 15.251 0.021
59324.18708 z 14.922 0.027
59325.18257 g 15.026 0.020
59325.18382 r 14.789 0.017
59325.18508 i 15.204 0.019
59325.18634 z 14.895 0.027
59329.18160 g 15.458 0.070
59329.18389 r 14.836 0.023
59329.18619 i 15.122 0.026
59329.18848 z 14.878 0.029
59331.26302 i 15.126 0.047
59331.26531 z 14.915 0.095
59332.18245 g 15.668 0.061
59332.18474 r 14.899 0.020
59332.18703 i 15.100 0.025
59332.18933 z 14.868 0.035
59333.18788 g 15.759 0.043
59333.19018 r 14.945 0.018
59333.19248 i 15.111 0.022
59333.19479 z 14.852 0.034
59334.18373 g 15.840 0.022
59334.18604 r 15.076 0.015
59334.18833 i 15.144 0.017
59334.19064 z 14.911 0.022
59335.18440 g 15.884 0.035
59335.18672 r 15.121 0.024
59335.18902 i 15.185 0.020
59335.19133 z 14.974 0.024
59337.18619 g 16.101 0.050
59337.18850 r 15.224 0.023
59337.19328 z 14.986 0.053
59338.18681 g 16.114 0.025
59338.18912 r 15.358 0.017
59338.19143 i 15.415 0.021
59338.19373 z 15.085 0.040
59339.18769 g 16.170 0.019
59339.19230 i 15.430 0.020
59339.19459 z 15.273 0.024
59340.31571 g 16.204 0.019
59340.31801 r 15.478 0.015
59340.32031 i 15.572 0.017
59340.32260 z 15.302 0.026
59342.18891 g 16.339 0.035
59342.19120 r 15.577 0.020
59342.19349 i 15.670 0.024
59342.19580 z 15.392 0.041
59343.18652 g 16.376 0.083
59343.18880 r 15.590 0.028
59343.19109 i 15.681 0.035
59343.19338 z 15.317 0.086
59346.21554 g 16.488 0.020
59346.21785 r 15.726 0.022
59346.22014 i 15.897 0.019
59346.22242 z 15.671 0.027
59347.17727 g 16.561 0.023
59347.17956 r 15.854 0.018
59347.18186 i 15.997 0.021
59347.18415 z 15.776 0.032
59348.18840 g 16.619 0.027
59348.19070 r 15.878 0.022
59348.19299 i 16.030 0.034
59348.19529 z 15.821 0.120
