dateobs jd mag dmag telescope filter magtype
2021-03-21 2459295.34708 14.9359 0.0295 1m0-12 r 1
2021-03-21 2459295.34844 14.9305 0.0192 1m0-12 r 1
2021-03-21 2459295.34995 15.2292 0.0319 1m0-12 i 1
2021-03-21 2459295.35130 15.2423 0.0308 1m0-12 i 1
2021-03-22 2459295.64976 14.8244 0.0400 1m0-04 U 1
2021-03-22 2459295.65237 14.8392 0.0388 1m0-04 U 1
2021-03-22 2459295.65871 14.8127 0.0268 1m0-04 V 1
2021-03-22 2459295.66005 14.8191 0.0259 1m0-04 V 1
2021-03-22 2459295.66158 14.8829 0.0129 1m0-04 g 1
2021-03-22 2459295.66326 14.8831 0.0132 1m0-04 g 1
2021-03-22 2459295.66514 14.8758 0.0155 1m0-04 r 1
2021-03-22 2459295.66648 14.8638 0.0166 1m0-04 r 1
2021-03-22 2459295.66800 15.0823 0.0218 1m0-04 i 1
2021-03-22 2459295.66934 15.1081 0.0191 1m0-04 i 1
2021-03-22 2459295.72831 14.8047 0.0346 1m0-05 U 1
2021-03-22 2459295.72965 14.7717 0.0389 1m0-05 U 1
2021-03-22 2459295.73123 14.9260 0.0252 1m0-05 B 1
2021-03-22 2459295.73229 14.9203 0.0221 1m0-05 B 1
2021-03-22 2459295.73348 14.7222 0.0277 1m0-05 V 1
2021-03-22 2459295.73424 14.7040 0.0295 1m0-05 V 1
2021-03-22 2459295.73517 14.7508 0.0143 1m0-05 g 1
2021-03-22 2459295.73618 14.7482 0.0146 1m0-05 g 1
2021-03-22 2459295.73735 14.8611 0.0191 1m0-05 r 1
2021-03-22 2459295.73811 14.8769 0.0163 1m0-05 r 1
2021-03-22 2459295.73905 15.0994 0.0227 1m0-05 i 1
2021-03-22 2459295.73981 15.0783 0.0235 1m0-05 i 1
2021-03-22 2459296.39119 14.4512 0.0416 1m0-13 U 1
2021-03-22 2459296.39253 14.4185 0.0410 1m0-13 U 1
2021-03-22 2459296.39404 14.7699 0.0282 1m0-13 B 1
2021-03-22 2459296.39504 14.7730 0.0288 1m0-13 B 1
2021-03-22 2459296.39621 14.6328 0.0314 1m0-13 V 1
2021-03-22 2459296.39698 14.6347 0.0324 1m0-13 V 1
2021-03-22 2459296.39792 14.6411 0.0257 1m0-13 g 1
2021-03-23 2459296.60473 14.3674 0.0387 1m0-12 U 1
2021-03-23 2459296.60608 14.3870 0.0383 1m0-12 U 1
2021-03-23 2459296.60760 14.7566 0.0347 1m0-12 B 1
2021-03-23 2459296.60860 14.7092 0.0272 1m0-12 B 1
2021-03-23 2459296.60979 14.6475 0.0368 1m0-12 V 1
2021-03-23 2459296.61054 14.6627 0.0388 1m0-12 V 1
2021-03-23 2459296.61148 14.6042 0.0313 1m0-12 g 1
2021-03-23 2459296.61249 14.5946 0.0263 1m0-12 g 1
2021-03-23 2459296.61369 14.7719 0.0379 1m0-12 r 1
2021-03-23 2459296.61445 14.7793 0.0316 1m0-12 r 1
2021-03-23 2459296.61538 14.9630 0.0327 1m0-12 i 1
